,seq,is_true,is_ignore,crop_path,original_path,x0,x1,y0,y1,col
0,0,False,False,..\cropped_images\aachen_000001_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000001_000019_leftImg8bit.png,550,570,402,436,r
1,1,False,False,..\cropped_images\aachen_000001_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000001_000019_leftImg8bit.png,539,589,376,493,r
2,0,True,False,..\cropped_images\aachen_000004_000019_gT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000004_000019_leftImg8bit.png,224,251,370,426,g
3,1,True,False,..\cropped_images\aachen_000004_000019_gT_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000004_000019_leftImg8bit.png,1970,2020,178,306,g
4,0,True,False,..\cropped_images\aachen_000010_000019_rT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000010_000019_leftImg8bit.png,1631,1681,96,213,r
5,1,False,False,..\cropped_images\aachen_000010_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000010_000019_leftImg8bit.png,1390,1410,354,388,r
6,2,False,False,..\cropped_images\aachen_000010_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000010_000019_leftImg8bit.png,518,538,358,392,r
7,3,True,False,..\cropped_images\aachen_000010_000019_gT_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000010_000019_leftImg8bit.png,1850,1877,202,258,g
8,4,False,False,..\cropped_images\aachen_000010_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000010_000019_leftImg8bit.png,1511,1561,332,449,r
9,0,False,False,..\cropped_images\aachen_000013_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,0,14,28,62,r
10,1,False,False,..\cropped_images\aachen_000013_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,0,14,84,118,r
11,2,False,False,..\cropped_images\aachen_000013_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,0,14,112,146,r
12,3,False,False,..\cropped_images\aachen_000013_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,262,282,280,314,r
13,4,False,False,..\cropped_images\aachen_000013_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,300,320,286,320,r
14,5,False,False,..\cropped_images\aachen_000013_000019_rF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,328,348,290,324,r
15,6,False,False,..\cropped_images\aachen_000013_000019_rF_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,1658,1678,450,484,r
16,7,False,False,..\cropped_images\aachen_000013_000019_gF_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,1536,1563,398,454,g
17,8,False,False,..\cropped_images\aachen_000013_000019_rF_00008.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000013_000019_leftImg8bit.png,283,333,268,385,r
18,0,False,False,..\cropped_images\aachen_000014_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000014_000019_leftImg8bit.png,2016,2036,54,88,r
